currentData,speed
65536,939
2881821,43690
3012893,262144
5568797,262144
8124701,524288
10680605,262144
13236509,524288
15792413,524288
18348317,262144
20904221,524288
23460125,262144
26016029,524288
28571933,524288
31127837,262144
33683741,262144
36239645,262144
38795549,262144
41351453,262144
43907357,524288
46463261,524288
49019165,524288
51575069,524288
54130973,262144
56686877,262144
59242781,524288
61798685,524288
64354589,524288
66910493,262144
69466397,262144
72022301,524288
74578205,262144
77134109,262144
79690013,262144
82245917,262144
84801821,262144
87357725,262144
89913629,262144
92469533,262144
95025437,262144
97581341,262144
100137245,262144
102693149,262144
105249053,262144
107739421,262144
110295325,262144
112851229,262144
115407133,262144
117963037,262144
120518941,262144
123074845,262144
125630749,262144
128186653,262144
130742557,262144
133298461,262144
135854365,262144
138410269,262144
140966173,524288
143522077,262144
146077981,262144
148633885,262144
151189789,262144
153745693,262144
156301597,262144
158857501,262144
161413405,262144
163969309,262144
166525213,262144
169081117,524288
171637021,262144
174192925,262144
176748829,524288
179304733,262144
181860637,262144
184416541,174762
186972445,262144
189528349,174762
192084253,262144
194640157,262144
197196061,262144
199751965,174762
202307869,262144
204863773,262144
207419677,262144
209975581,262144
212465949,174762
215021853,262144
217577757,262144
220133661,262144
222689565,262144
225245469,262144
227801373,174762
230357277,524288
232913181,262144
235469085,262144
238024989,262144
240580893,524288
243136797,262144
245692701,524288
248248605,262144
250804509,262144
253360413,131072
255916317,262144
258472221,262144
261028125,262144
263584029,262144
266139933,174762
268695837,262144
271251741,262144
273807645,524288
276363549,262144
278919453,262144
281475357,174762
284031261,262144
286587165,262144
289143069,262144
291698973,174762
294254877,262144
296810781,131072
299366685,262144
301922589,262144
304478493,262144
307034397,262144
309590301,524288
312146205,262144
314702109,262144
317192477,262144
319748381,262144
322304285,262144
322959645,524288
324860189,524288
327416093,524288
329971997,524288
332527901,174762
335083805,262144
337639709,524288
340195613,262144
342751517,262144
345307421,262144
347863325,262144
350419229,262144
352975133,262144
355531037,262144
358086941,524288
360642845,524288
363198749,524288
365754653,262144
368310557,262144
370866461,524288
373422365,262144
375978269,524288
378534173,524288
381090077,524288
383645981,262144
386201885,524288
388757789,524288
391313693,262144
393869597,262144
396425501,524288
398981405,262144
401537309,262144
404093213,262144
406649117,524288
409205021,262144
411760925,262144
414316829,524288
416872733,262144
419428637,524288
421919005,262144
424474909,524288
427030813,262144
429586717,174762
432142621,524288
434698525,524288
437254429,262144
439810333,524288
442366237,262144
444922141,524288
447478045,262144
450033949,524288
452589853,524288
455145757,524288
457701661,262144
460257565,262144
462813469,262144
