currentData,speed
65536,10922
131400,10011
195640,31854
259880,15983
338556,47662
388360,12410
452600,8760
521056,11155
581080,27482
646616,10922
709560,18050
773800,18050
853936,14563
902280,7786
985336,11650
1030760,54506
1113816,26214
1159240,6944
1223480,24472
1318216,11397
1351960,46720
1429176,16384
1480440,120693
1547436,16384
1608920,4820
1693436,17476
1737400,198560
1807316,15887
1865880,5755
1930120,7048
2030696,12787
2058600,28365
2131436,30840
2187080,5255
2283276,8065
2315560,5840
2391316,12192
2444040,21024
2515416,12787
2572520,140160
2636760,7187
2708136,30840
2765240,7675
2852676,6026
2893720,99280
2957960,6136
3041016,15887
3086440,25156
3163656,6241
3324256,8456
3420616,4369
3471880,16546
3552016,65536
3600360,46720
3664600,5294
3756416,8886
3793080,46720
3864456,13443
3921560,38933
3998776,6721
4050040,81760
4114280,42048
4191496,19418
4282016,19418
4307000,14016
4433856,13443
4499720,40880
4588616,5190
4658696,87381
4692440,320
4787176,16384
4820920,3893
4915656,8456
4994496,87381
5087936,6636
5178456,19418
5270600,98112
5339056,16912
5409136,9198
5499656,10082
5585796,12192
5702596,19418
5793116,9892
5877796,9709
5913000,105120
5997516,65536
6090956,11397
6165416,30840
6236956,8738
6298440,58400
6374196,10485
6464716,12483
6534796,87381
6625316,87381
6683880,20174
6753796,8456
6829716,58254
6914396,17476
7001996,20164
7069320,2967
7153836,13107
7244356,47662
7336336,7943
7426856,14979
7518836,30840
7591836,131072
7647480,128480
7783096,4519
7850256,14979
7917416,12787
7999176,10082
8095536,10082
8191896,47662
8261976,8594
8351036,11915
8421116,58254
8492656,11915
8546840,15573
8615296,7084
8699976,9198
8770056,104857
8840136,30840
8951096,21845
8996520,27607
9102936,6898
9247476,10699
9320476,11650
9389096,37449
9478156,74898
9510440,248
9638756,104857
9752636,7489
9848996,9198
9919076,8192
10009596,58254
10105956,13797
10189176,6241
10258512,27776
10339556,4559
10449056,11650
10530816,23831
10602520,99280
10666760,163520
10761496,104857
10828656,104857
10907496,3339
11027216,43690
11098756,12483
11180516,13797
11244920,21563
11309160,35040
11403896,2148
11506096,6241
11599536,8886
11666696,29127
11754296,47662
11876936,29127
11951560,4027
12025856,19418
12110536,5190
12201056,6316
12291576,10280
12373336,4002
12443416,10280
12529720,6454
12593960,8919
12662416,3102
12752936,34952
12839076,87381
12929596,74898
13020116,5518
13104796,87381
13172120,90520
13236360,75920
13316496,8322
13386576,5518
13477096,14563
13563236,2088
13636236,9198
13715076,4128
13801216,8886
13926776,58254
14007240,3643
14116576,47662
14204176,23831
14280096,13107
14376456,2833
14472816,43690
14585400,7636
14665536,16384
14713880,43800
14794016,3640
14869936,11915
14948776,22795
15024696,3177
15097696,4064
15188216,7489
15284576,2157
15360496,6898
15442256,9198
15602856,10280
15699216,3615
15780976,9532
15877336,4064
15973696,11397
16043776,4064
16134296,7182
16210216,12787
16319880,5339
16402936,10699
16499296,9198
16592736,6808
16662816,1675
16753336,8886
16823416,104857
16898040,46720
16978176,5461
17048256,104857
17135856,19418
17232216,4681
17308136,7598
17378216,8456
17459976,3013
17553416,87381
17643936,4332
17733160,7535
17804536,7182
17900896,10082
17997256,58254
18054360,1568
18254216,9709
18359336,3449
18446936,74898
18534536,87381
18604616,3495
18632520,2595
18703896,24966
18771056,104857
18846976,2730
18917056,1224
19917320,89546
19984316,6808
20058776,11915
20130316,7182
20225216,6553
20321576,5041
20416476,6096
20495480,8379
20577076,3566
20688036,5041
20781476,10280
20851556,5190
20940616,3826
21064716,47662
21158156,10485
21247216,4809
21317296,40329
21429716,2928
21499796,34952
21590316,7710
21674996,3013
21742156,23831
21832676,3030
21902756,27594
21993276,14563
22063356,74898
22101480,50613
22212276,5295
22282356,47662
22355356,3615
22451716,74898
22520336,4332
22591876,87381
22673636,12483
22769996,104857
22808120,58400
