currentData,speed
0,307
1460,0
2920,11680
4380,35040
8760,0
14600,0
17520,0
20440,3893
21900,46720
27740,0
29200,0
35040,70080
43800,0
51100,0
55480,2920
56940,11680
58400,0
71540,40880
81760,0
84680,0
86140,0
89060,70080
97820,75920
116800,1946
118260,0
119720,23360
122640,0
129940,0
134320,0
137240,3893
138700,36986
166440,3893
167900,58400
175200,0
176660,0
182500,0
189800,70080
198560,46720
239440,9733
246740,0
255500,0
262800,0
271560,116800
286160,52560
299300,0
315360,58400
322660,35040
327040,5840
328500,0
329960,0
332880,70080
341640,0
347480,81760
357700,0
362080,11680
363540,5840
365000,70080
373760,0
379600,81760
389820,46720
395660,0
397120,0
401500,70080
410260,0
416100,4672
419020,2920
420480,23360
423400,0
432160,0
439460,0
448220,0
455520,0
462820,11680
464280,116800
478880,0
480340,0
483260,0
487640,0
496400,0
503700,0
505160,105120
518300,0
519760,0
527060,0
528520,0
534360,0
541660,5840
543120,58400
550420,0
560640,0
567940,0
575240,23360
581080,0
595680,46720
619040,23360
621960,46720
627800,0
630720,0
633640,5840
635100,11680
638020,0
640940,11680
642400,81760
652620,0
659920,0
668680,0
674520,0
683280,58400
690580,58400
697880,1946
699340,0
700800,0
703720,70080
712480,0
713940,0
718320,0
728540,0
735840,0
737300,0
743140,0
748980,11680
750440,0
762120,11680
763580,0
765040,0
769420,70080
778180,0
784020,81760
794240,0
795700,0
800080,0
801540,0
808840,0
816140,0
823440,23360
826360,2920
827820,46720
833660,0
840960,70080
849720,0
851180,0
857020,0
858480,3893
859940,35040
864320,0
873080,0
874540,0
876000,70080
884760,0
889140,898
890600,81760
900820,0
908120,0
913960,70080
922720,0
931480,0
937320,81760
947540,0
953380,2336
954840,0
956300,0
960680,0
967980,0
970900,0
975280,0
984040,0
989880,81760
1000100,0
1005940,0
1014700,23360
1017620,0
1019080,0
1020540,70080
1029300,0
1032220,0
1035140,81760
1045360,0
1048280,0
1051200,0
1061420,0
1067260,70080
1076020,0
1077480,0
1081860,2920
