currentData,speed
65536,14169
125560,19112
189800,8342
265556,24966
318280,9614
404256,74898
446760,16060
511000,30660
577996,23831
639480,6813
703720,28669
775024,16384
832200,68133
905036,13443
960680,128480
1024920,14965
1110896,20164
1153400,23360
1242296,19418
1281880,19514
1369316,29127
1410360,11680
1477356,131072
1538840,14317
1624816,52428
1667320,26864
1732856,23831
1795800,43216
1864256,40329
1924280,20174
2005876,20971
2052760,19810
2135816,34952
2181240,43800
2245480,26795
2319776,20971
2373960,13041
2451176,17476
2502440,93440
2566680,11380
2668716,43690
2695160,3046
2760696,74898
2823640,10382
2887880,37960
2972396,15420
3016360,89546
3083356,24966
3144840,16110
3209080,35040
3292136,17476
3337560,63072
3416236,16912
3466040,32444
3530280,18354
3595816,24966
3658760,37376
3731596,13797
3787240,93440
3870296,15887
3915720,21236
3988556,131072
4044200,24657
4118496,34952
4172680,21608
4236920,36836
4302456,19418
4365400,40231
4436776,40329
4493880,14694
4574016,43690
4622360,23360
4686600,19297
4781264,29127
4815080,8535
4905436,87381
4943560,9270
5026616,34952
5072040,32120
5147796,30840
5200520,7786
5274816,21845
5329000,10618
5393240,256960
5485056,32768
5521720,25696
5587256,16912
5650200,60346
5718584,32768
5778680,24047
5863196,19418
5907160,21413
5988756,26214
6035640,33580
6099880,16621
6169796,32768
6228360,38933
6296816,17476
6356840,23360
6467636,26214
6485320,116800
6549560,31446
6616556,19418
6678040,40231
6746496,27594
6806520,27607
6870760,14683
6945056,87381
6999240,20611
7074996,21845
7127720,140160
7202016,16384
7256200,8261
7321736,29127
7384680,28856
7458976,20971
7513160,40231
7580156,21845
7641640,27482
7705880,34066
7774336,21845
7834360,53208
7905736,15420
7962840,31702
8027080,21413
8094076,20971
8155560,95776
8225476,29127
8284040,22094
8349576,40329
8412520,26433
8489736,34952
8541000,14375
8606536,37449
8669480,15434
8733720,30792
8813784,20164
8927736,37449
8990680,17102
9054920,51392
9132064,20164
9183400,96360
9257696,15887
9311880,116800
9383256,29127
9440360,12452
9511736,29127
9568840,40880
9641676,15887
9697320,18789
9761560,25696
9850456,34952
9890040,18980
9973096,52428
10018520,18472
10082760,14924
10165816,27594
10211240,43382
10291376,22795
10339720,25483
10403960,35040
10481176,14979
10599436,32768
10660920,25421
10748356,19418
10789400,53728
10856396,21845
10917880,48017
10989256,26214
11046360,38225
11125036,12483
11241836,19418
11303320,43534
11386376,27594
11431800,24657
11507556,27594
11560280,24194
11644796,21845
11688760,15851
11773276,40329
11817240,14307
11892996,65536
11945720,16458
12028776,18078
12074200,146288
12147036,23831
12202680,120693
12266920,23360
12335376,32768
12395400,24734
12466776,40329
12523880,19297
12588120,31925
12672636,21845
12716600,13626
12812724,23831
12845080,62293
12909320,18168
12980696,104857
13037800,11680
13104796,52428
13166280,13711
13233276,131072
13294760,24589
13366136,32768
13423240,27253
13500456,21845
13551720,73973
13630396,16384
13680200,31702
13744440,11987
13818736,58254
13872920,21691
13944296,37449
14001400,27852
14066936,22795
14129880,49640
14198336,19418
14258360,22581
14342876,24966
14386840,42826
14459676,20971
14515320,19924
14586696,32768
14643800,36101
14728316,34952
14772280,11680
14836520,18581
14922496,18078
14965000,46720
15034916,17476
15093480,73973
15157720,61320
15227564,22795
15286200,23360
15357576,22795
15414680,33742
15478920,46720
15545916,30840
15607400,17909
15681696,26214
15735880,16222
15804264,29127
15864360,36337
15934276,29127
15992840,23360
16064216,20164
16121320,40231
16185560,10417
16280296,37449
16314040,39029
16379576,21845
16442520,46720
16508056,21845
16571000,39906
16640916,37449
16699480,24734
16773776,20164
16827960,74867
16894956,16384
16956440,75920
17023436,29127
17084920,17241
17163596,43690
17213400,12082
17277640,49056
17365076,21845
17406120,15017
17486256,30840
17534600,12294
17613276,52428
17663080,19272
17753436,34952
17791560,15983
17881916,11915
17920040,35040
