currentData,speed
0,307
1460,0
7300,0
8760,58400
16060,1168
17520,0
21900,2920
23360,0
26280,70080
35040,0
39420,5840
40880,58400
48180,0
49640,70080
58400,2336
59860,11680
61320,11680
62780,0
64240,0
67160,2336
68620,2920
70080,11680
71540,353
73000,5840
74460,46720
91980,278
93440,23360
96360,0
97820,35040
102200,0
103660,0
105120,0
106580,0
108040,614
109500,0
110960,0
112420,0
113880,0
115340,0
116800,0
118260,0
119720,0
121180,0
122640,0
124100,0
125560,2920
127020,0
128480,0
129940,11680
131400,23360
134320,0
135780,1668
137240,0
141620,11680
143080,0
144540,0
146000,5840
147460,35040
156220,0
157680,11680
159140,0
160600,0
162060,0
163520,0
164980,17520
169360,23360
175200,0
176660,0
178120,0
179580,3893
181040,0
182500,0
183960,23360
186880,35040
191260,0
192720,1946
194180,0
195640,0
197100,1668
198560,0
200020,46720
205860,17520
210240,0
211700,0
213160,0
214620,614
216080,0
217540,0
219000,5840
220460,15573
226300,2920
227760,0
229220,0
230680,0
232140,0
233600,0
235060,0
236520,0
237980,0
239440,0
240900,0
242360,0
243820,0
245280,0
246740,0
248200,0
249660,0
251120,0
252580,0
254040,0
255500,0
256960,0
258420,0
259880,0
261340,0
262800,0
264260,0
265720,0
267180,0
268640,0
270100,0
271560,0
273020,0
274480,0
275940,0
277400,0
278860,0
280320,0
281780,0
283240,0
284700,11680
286160,0
287620,23360
290540,0
292000,0
293460,0
294920,0
296380,0
297840,0
299300,0
300760,0
302220,0
303680,0
305140,1668
306600,0
308060,0
309520,0
310980,0
312440,0
313900,0
315360,0
316820,0
318280,0
319740,0
321200,3893
322660,0
324120,0
325580,0
327040,35040
335800,0
337260,0
338720,11680
340180,0
341640,0
343100,0
344560,11680
348940,389
350400,23360
353320,0
354780,0
356240,0
357700,0
359160,0
360620,0
362080,0
363540,0
366460,11680
367920,0
369380,0
370840,0
372300,11680
373760,0
375220,0
378140,0
381060,0
382520,0
385440,0
386900,0
388360,0
389820,2336
391280,0
395660,11680
397120,11680
