currentData,speed
65536,4809
122640,9556
186880,8424
315360,9300
429076,16384
443840,16352
508080,16060
582376,21845
636560,4247
728376,16912
765040,16989
829280,56453
903576,26214
957760,19466
1032056,14563
1086240,33093
1150480,18867
1248136,22795
1335736,12483
1405816,15887
1490496,40329
1535920,18980
1610216,23831
1678836,18724
1762056,23831
1835056,19418
1921360,29200
1989816,17476
2081796,23831
2175236,13797
2303716,30840
2306800,23360
2372336,21845
2442416,9892
2559216,32768
2632216,524288
2702296,16384
2784056,16384
2857056,24966
2922756,27594
3013440,3584
3125696,174762
3222056,524288
3289216,174762
3398880,14016
3518436,21845
3600196,13443
3743276,22795
3822116,6316
3988556,262144
4105356,20971
4198796,24966
4264496,7182
4486416,15887
4555200,19155
4641176,21845
4718556,13443
4793016,30840
4876236,8738
5004880,2467
5101076,174762
5206196,87381
5311316,26214
5385776,15420
5502576,9709
5588716,6316
5657336,131072
5801876,29127
5905536,13797
5987296,11397
6096960,9517
6165416,262144
6238416,524288
6311416,40329
6410696,37449
6482236,18078
6599036,29127
6682256,3666
6799056,174762
6901256,4228
6980096,15887
7105656,74898
7228296,104857
7253280,4610
7365536,34952
7457516,4002
7564096,262144
7669216,131072
7774336,262144
7844416,40329
7895680,2748
7965596,262144
8070716,37449
8137876,20164
8218176,27594
8304316,6316
8396296,131072
8501416,3971
8602320,420480
8670776,174762
8770056,52428
8886856,27594
8955476,17476
9022636,29127
9120456,20164
9213896,4161
9308960,6041
9373200,11680
9447496,15887
9520496,3426
9627076,174762
9732196,131072
9837316,58254
9942436,11915
10015600,22130
10086976,9039
10159976,65536
10246116,16912
10336636,4854
10438836,262144
10595056,23831
10676816,11650
10722240,186880
10786480,9344
10850720,27482
10941076,3139
11046196,174762
11107680,45260
11203876,174762
11308996,37449
11419956,174762
11498796,26214
11583476,4002
11659396,104857
11764516,58254
11928036,262144
11998116,43690
12106156,32768
12192296,2880
12288656,74898
12393776,174762
12478456,87381
12520960,233600
12595256,524288
12694536,4194
12773376,74898
12878496,131072
12980696,52428
13085816,262144
13167576,524288
13227600,18688
13310656,74898
13408476,3318
13491696,174762
13564696,87381
13684416,174762
13766176,58254
13894656,131072
13976416,174762
14058176,12192
14126960,23360
14191200,17520
14271336,9198
14389596,174762
14488876,26214
14570636,20971
14650936,23831
14741456,18724
14824676,24966
14897840,6340
14967756,47662
15026320,112906
15177996,20971
15256836,40329
