currentData,speed
40880,7267
89060,7008
140160,10220
189800,10732
221920,16172
270100,12848
305140,12458
337260,9344
378140,6958
410260,11680
474500,10410
538740,8876
602980,12848
667220,12264
731460,9517
763580,5989
827820,9976
892060,12810
924180,15017
988420,6450
1084780,10757
1116900,7652
1181140,9400
1253976,12787
1277500,10706
1341740,14317
1433556,7825
1470220,25306
1544516,8738
1598700,14182
1665696,6898
1727180,17070
1800016,15420
1865716,12192
1919900,14902
1988356,15420
2054056,15887
2112620,15070
2185456,11650
2241100,9785
2306636,16384
2369580,9160
2446796,15887
2516876,12483
2562300,10057
2633676,11155
2705216,9892
2755020,11315
2840996,8886
2913996,15887
2947740,6370
3017656,9362
3083356,26214
3140460,17520
3208916,6553
3333180,6813
3410396,12192
3506756,37449
3576836,13797
3643996,14169
3727216,24966
3794376,12787
3847100,23360
3927236,12787
3997316,18724
4067396,15420
4104060,13626
4172516,16384
4246976,15420
4336036,9198
4430936,47662
4518536,16384
4597376,22795
4686436,12787
4756516,12787
4826596,20164
4920036,11155
4939180,4122
5022236,7281
5118596,131072
5214956,9709
5260380,9528
5328836,131072
5410596,12787
5485056,10280
5558056,13797
5581580,4672
5667556,27594
5737636,18078
5810636,9198
5890936,11155
5962476,22795
6050076,22795
6144976,13443
6223816,16384
6288220,12775
6375656,14979
6448656,12192
6524576,13797
6609256,11397
6695396,26214
6772776,6808
6851616,20164
6921696,20164
6994860,7853
7067696,20164
7137776,16912
7207856,18724
7279396,7598
7355316,11915
7380300,23360
7445836,11650
7520296,24966
7599136,10922
7669216,14979
7764116,12192
7850256,10280
7937856,23831
8013776,10922
8108676,20164
8151180,5840
8228396,20971
8310156,8594
8383156,34952
8478056,18078
8536620,3893
8606536,13107
8697056,13797
8791956,13443
8866416,10922
8922060,6944
8986300,13302
9066436,16912
9159876,13107
9229956,9362
9300036,24966
9371740,5555
9441656,131072
9500220,14460
9568676,131072
9650436,11155
9721976,15420
9802276,14169
9872356,1387
10332256,21845
10399416,14563
10470956,3718
10528060,33742
10596516,104857
10672436,20164
10738136,11650
10805296,4194
10872456,32768
10913500,10567
10979036,18724
11041980,5840
11148396,9892
11227236,11155
11295856,14169
11364476,13443
11427420,12627
11500256,34952
11570336,13443
11637496,16912
11684380,4739
11760136,15887
11830216,16384
11910516,22795
11990816,10280
12062356,13797
12135356,10082
12217116,26214
12262540,13548
12329536,11650
12398156,9709
12475536,13443
12558756,12787
12640516,30840
12719356,7598
12801116,10280
12840700,12977
12913536,13797
12987996,7598
13071216,14169
13141296,11650
