currentData,speed
0,6870
14600,0
71540,52560
84680,35040
93440,5840
94900,268640
162060,120693
207320,0
208780,0
232140,11680
233600,78840
273020,11680
275940,0
287620,0
289080,245280
319740,0
327040,0
360620,0
362080,268640
395660,198560
420480,0
424860,0
426320,233600
455520,0
481800,0
483260,0
516840,2336
518300,0
534360,0
563560,93440
575240,256960
607360,373760
700800,11680
702260,0
730000,245280
760660,11680
762120,0
765040,0
794240,233600
823440,116800
852640,0
854100,0
884760,58400
892060,2336
893520,0
909580,0
912500,210240
938780,303680
1014700,5840
1016160,0
1076020,116800
1105220,0
1106680,251120
1169460,0
1198660,11680
1200120,0
1227860,256960
1259980,0
1261440,0
1292100,233600
1321300,11680
1322760,0
1350500,0
1365100,1061
1366560,344560
1452700,0
1484820,0
1487740,11680
1489200,0
1518400,0
1549060,210240
1575340,23360
1578260,245280
1608920,0
1610380,0
1638120,245280
1668780,0
1683380,11680
1684840,0
1714040,245280
1744700,0
1772440,0
1806020,11680
1807480,478880
1867340,11680
1868800,0
1895080,0
1909680,0
1928660,245280
1989980,0
1991440,0
2017720,268640
2051300,245280
2112620,0
2140360,0
2141820,0
2173940,245280
2204600,0
2206060,0
2233800,221920
2261540,268640
2295120,11680
2296580,0
2325780,233600
2354980,221920
2382720,0
2416300,11680
2417760,478880
2477620,3893
2479080,0
2490760,0
2492220,0
2524340,202453
2600260,0
2629460,0
2630920,245280
2661580,490560
2722900,0
2724360,0
2750640,0
2784220,11680
2785680,0
2814880,0
2816340,0
2845540,221920
2873280,0
2874740,0
2906860,11680
2908320,478880
2968180,0
2969640,0
2993000,0
3028040,11680
3029500,0
3057240,0
3066000,175200
3087900,256960
3120020,0
3149220,1460
3150680,0
3156520,548960
3225140,0
3226600,0
3239740,5840
3241200,420480
3293760,0
3315660,11680
3317120,0
3347780,46720
3353620,0
3355080,0
3406180,0
3436840,2920
3438300,0
3454360,0
3455820,0
3483560,0
3509840,0
3527360,0
3539040,0
3559480,0
3562400,0
3591600,0
3593060,110960
3620800,373760
3714240,0
3715700,0
3743440,11680
3744900,198560
3893820,0
3925940,0
3927400,478880
3987260,116800
4001860,0
4016460,233600
4045660,0
4077780,11680
4079240,0
4112820,0
4114280,0
4139100,5840
4140560,0
4152240,249173
4245680,0
4279260,221920
4307000,116800
4321600,256960
4353720,385440
4401900,0
4429640,0
4431100,0
4458840,0
4460300,0
4490960,5840
4493880,5840
4495340,712480
4584400,0
4616520,0
4626740,0
4645720,210240
4672000,176497
4870560,5840
4872020,0
4889540,0
4917280,3893
4918740,0
4961080,0
4981520,0
4993200,5840
4994660,0
5012180,0
5013640,0
5034080,2336
5035540,0
5050140,0
5054520,0
5096860,607360
5172780,0
5174240,0
5201980,0
5234100,5840
5235560,0
5267680,0
5295420,245280
5356740,237493
5445800,0
5447260,0
5477920,155733
5594720,303680
5632680,0
5634140,0
5661880,1168
5663340,373760
5710060,233600
5739260,0
5740720,245280
5771380,607360
5847300,2920
5848760,0
5873580,0
5882340,467200
5940740,0
5942200,0
5972860,58400
5987460,11680
