currentData,speed
65536,58254
137240,221920
202776,104857
264260,420480
328500,125560
399876,131072
456980,136266
523976,104857
585460,93440
674356,174762
713940,315360
783856,131072
842420,128480
913796,65536
970900,186880
1035140,65408
1112356,131072
1163620,93440
1227860,128480
1322596,131072
1420580,119720
1525536,131072
1613300,96360
1699276,262144
1767896,104857
1806020,99280
1870260,110960
1963536,174762
2062980,171306
2137276,174762
2217576,131072
2255700,221920
2319940,140160
2385476,131072
2494976,174762
2578196,131072
2641140,210240
2706676,131072
2820556,174762
2892096,262144
2960716,65536
3026580,46720
3141756,174762
3201780,480192
3267316,104857
3337396,262144
3407476,174762
3499456,131072
3587056,262144
3654216,262144
3668980,40880
3735976,58254
3823576,262144
3905336,131072
4013376,262144
4087836,87381
4195876,65536
4373996,174762
4482036,131072
4574016,262144
4649936,104857
4776956,174762
4871856,174762
4959456,131072
5018020,63072
5093776,131072
5159312,174762
5277736,262144
5385776,104857
5455856,104857
5563896,262144
5596180,87600
5686536,262144
5762456,174762
5870496,174762
5917380,23360
6026716,262144
6102636,174762
6210676,262144
6286596,87381
6394636,262144
6470556,174762
6537716,524288
6607796,262144
6686636,174762
6794676,262144
6870596,174762
6978636,174762
7054556,174762
7162596,262144
7238516,174762
7346556,262144
7422476,131072
7495476,87381
7603516,262144
7679436,174762
7787476,262144
7863396,131072
7930556,174762
8032756,174762
8115976,262144
8183136,174762
8291176,262144
8367096,104857
8475136,524288
8551056,174762
8647416,74898
8749616,262144
8815152,262144
8872420,175200
8962776,524288
9038696,87381
9146736,131072
9237256,524288
9307336,131072
9374496,262144
9444576,174762
9514820,221920
9613936,262144
9708836,131072
9786216,262144
9862136,174762
9970176,262144
10046096,87381
10148296,262144
10157220,35040
10265096,262144
10341016,174762
10449056,524288
10524976,104857
10644696,174762
10752736,262144
10828656,174762
10927936,524288
10995096,262144
11071016,174762
11179056,262144
11254976,52428
11363016,262144
11438936,174762
11546976,262144
11622896,174762
11730936,262144
11806856,174762
11906136,174762
12014176,131072
12090096,174762
12198136,262144
12274056,174762
12382096,262144
12458016,174762
12554376,524288
12598340,99280
12700376,74898
12779216,174762
12890176,262144
12966096,131072
13068296,262144
13144216,74898
13240740,432160
13313576,524288
13389496,131072
13506296,174762
13617256,131072
13699016,524288
13798296,262144
13874216,43690
13982256,262144
14055256,131072
14160376,262144
14239216,174762
14268580,87600
14358936,524288
14446536,262144
14522456,174762
14610056,524288
14688896,524288
14764816,131072
14852416,524288
14910980,362080
14992576,131072
15088936,524288
15170696,524288
15246616,87381
15325456,262144
15413056,262144
15488976,174762
15597016,262144
15672936,131072
15746100,112906
15839376,262144
15913836,174762
16013116,262144
16089036,174762
16159116,262144
16255476,262144
16331396,174762
16398556,262144
16503676,524288
16573756,131072
16664276,87381
16709700,303680
16798596,262144
16871596,131072
16982556,262144
17058476,74898
17166516,262144
17242436,174762
17330036,262144
17423476,174762
17531516,262144
17607436,174762
17715476,262144
17791396,174762
17914036,174762
17994500,74752
18092156,262144
18122980,54506
18287796,174762
18410436,104857
18518476,262144
18588556,174762
18696596,174762
18765380,233600
18833836,174762
18941876,87381
19017796,524288
19122916,524288
19150820,105120
19233876,74898
19306876,262144
19382796,131072
19490836,524288
19563836,174762
19636836,104857
19736116,174762
19864596,174762
19972636,174762
20077756,524288
20153676,174762
20178660,116800
20276316,262144
20352236,174762
20428156,262144
20518676,262144
20597516,58254
20705556,262144
20781476,174762
20904116,174762
21012156,262144
21088076,174762
21196116,262144
21270740,102784
21336276,104857
21401976,174762
21510016,131072
21618056,524288
21691056,87381
21766976,174762
21875016,524288
21913140,55480
21997656,174762
22123216,87381
22231256,262144
22298580,455520
22368496,174762
22476536,131072
22552456,174762
22660496,131072
22733496,174762
22844456,262144
22920376,74898
23010896,524288
23101416,262144
23177336,131072
23288296,524288
23326420,67160
23405096,262144
23481016,174762
23589056,262144
23664976,174762
23773016,262144
23848936,174762
23968820,167413
24079616,131072
24164296,87381
24260656,524288
24336576,131072
24444616,524288
24520536,174762
24628576,131072
24701576,524288
24789176,262144
24865096,104857
24943936,174762
25034456,524288
25104536,262144
25171696,174762
25265136,524288
25338136,524288
25413976,174762
25520636,524288
25596556,104857
25684156,174762
25809716,131072
25917756,262144
25960260,256960
26040396,131072
26107556,262144
26177636,174762
26285676,262144
26361596,174762
26469636,524288
26545556,131072
26668196,174762
26776236,262144
26852156,174762
26960196,87381
27036116,174762
27144156,174762
27220076,174762
27309300,93440
27412716,262144
27484336,524288
27560256,174762
27644936,262144
27729616,262144
27805536,174762
27913576,262144
27951700,221920
28036216,524288
28112136,174762
28220176,524288
28296096,87381
28372016,74898
28480056,174762
28555976,104857
28664016,262144
28739936,174762
28847976,131072
28920976,174762
29031936,262144
29099096,262144
29169176,174762
29236500,227760
29338536,524288
29405696,262144
29472856,174762
29560456,87381
29642216,524288
29718136,131072
29840776,87381
29948816,524288
30007380,385440
30086056,87381
30194096,524288
30270016,174762
30378056,262144
30453976,104857
30562016,524288
30637936,174762
30745976,65536
30830576,87381
30937236,24966
31010236,524288
31121196,262144
31197116,131072
31292180,420480
31366476,262144
31436556,262144
31503716,174762
31576716,104857
31658476,262144
31754836,131072
31857036,131072
31934580,256960
32000116,262144
32092096,131072
32165096,131072
32276056,262144
32378256,131072
32471696,65536
32643976,104857
32725736,524288
32792896,131072
32903856,262144
32979776,174762
33087816,40329
33155140,198560
33257176,262144
33327256,262144
33394416,87381
33464496,131072
33575456,262144
33651376,174762
33774016,58254
33882056,262144
33955056,74898
34051416,262144
34124416,262144
34194496,174762
34267496,174762
34375536,524288
34439940,432160
34504180,227760
34574096,174762
34682136,524288
34758056,174762
34866096,131072
34933256,174762
35041296,262144
35117216,87381
35225256,131072
35301176,174762
35409216,524288
35485136,87381
35593176,524288
35669096,131072
35791736,174762
35899776,262144
35975696,174762
36083736,174762
36188856,262144
36270616,524288
36336316,37449
36441436,262144
36517356,174762
36625396,262144
36701316,174762
36809356,524288
36885276,87381
36993316,262144
37009540,46720
37115956,524288
37138020,116800
37238596,262144
37314516,104857
37393356,262144
37466356,262144
37542276,174762
37664916,174762
37772956,262144
37847416,37449
37914576,104857
37980276,174762
38082476,262144
38152556,174762
38260596,65536
38422820,443840
38494196,104857
38602236,262144
38615540,23360
38724876,174762
38800796,174762
38908836,524288
38984756,87381
39092796,524288
39168716,174762
39257940,385440
39336616,524288
39412536,131072
39520576,262144
39596496,58254
39704536,262144
39780456,131072
39888496,262144
39900340,11680
40011136,131072
40087056,174762
40195096,74898
40271016,87381
40379056,262144
40454976,131072
40542740,362080
40624336,262144
40700256,174762
40808296,262144
40884216,174762
40992256,74898
41068176,104857
41185140,32120
41281336,262144
41357256,174762
41474056,87381
41582096,262144
41658016,131072
41766056,262144
41841976,174762
41909136,131072
42002576,524288
42072656,174762
42148740,134320
42244936,524288
42315016,104857
42425976,262144
42501896,174762
42609936,131072
42677096,131072
42747176,174762
42869816,174762
42992456,131072
43100496,262144
43176416,131072
43243576,174762
43345776,174762
43424616,131072
43532656,262144
43562020,66186
43649456,262144
43734136,262144
43818736,524288
43893276,174762
44001316,262144
44077236,174762
44185276,262144
44204420,70080
44307916,262144
44383836,174762
44491876,524288
44567796,74898
44640796,524288
44716716,174762
44824756,262144
44846820,15573
44947396,262144
45023316,174762
45131356,74898
45207276,174762
45318236,524288
45388316,174762
45489220,467200
45557676,52428
45651116,262144
45681940,140160
45791276,262144
45867196,131072
45975236,34952
46042396,174762
46135836,524288
46238036,174762
46324340,128480
46403016,174762
46502296,174762
46569456,87381
46677496,262144
46744656,262144
46814736,131072
46922776,104857
46966740,268640
47030980,292000
47106736,262144
47182656,131072
47290696,262144
47357856,262144
47427936,87381
47535896,262144
47604596,104857
47671756,174762
47779796,262144
47855716,174762
47963756,262144
48030916,131072
48109756,131072
48217796,87381
48293716,131072
48416356,174762
48524396,262144
48591556,262144
48658716,104857
48766756,104857
48839756,87381
48947796,262144
49014956,262144
49085036,74898
49152196,58254
49254396,262144
49330316,131072
49438356,262144
49505516,262144
49575596,104857
49683636,262144
49729060,56064
49806276,262144
49857540,327040
49923076,174762
49990236,262144
50057396,262144
50127476,131072
50215076,262144
50288076,87381
50396116,262144
50472036,131072
50580076,262144
50655996,174762
50764036,174762
50851636,174762
50958216,262144
51034136,58254
51142176,262144
51218096,131072
51326136,262144
51402056,131072
51510096,262144
51586016,174762
51694056,262144
51769976,174762
51784740,29200
51889696,262144
51965616,104857
52073656,262144
52149576,131072
52256156,87381
52323316,524288
52393396,174762
52516036,131072
52619860,70080
52694156,262144
52761316,174762
52863516,174762
52930676,524288
53006596,174762
53114636,262144
53190556,174762
53262260,233600
53359916,65536
53460656,174762
53586216,131072
53694256,524288
53767256,87381
53878216,262144
53904660,128480
54000856,524288
54033140,87600
54123496,262144
54199416,174762
54307456,262144
54383376,131072
54450536,174762
54552736,262144
54628656,131072
54751296,174762
54859336,524288
54935256,74898
55041836,262144
55117756,52428
55225796,262144
55301716,131072
55409756,262144
55485676,174762
55593716,262144
55669636,87381
55777676,524288
55853596,262144
55923676,58254
56031716,262144
56107636,87381
56215676,131072
56291596,104857
56399636,262144
56475556,104857
56544176,262144
56602740,221920
56669736,262144
56774856,104857
56847856,262144
56941296,262144
57017216,104857
57198256,174762
57306296,174762
57417256,87381
57502100,315360
57589536,87381
57671296,524288
57770576,262144
57837736,262144
57907816,174762
58014396,131072
58110756,262144
58210036,262144
58285956,87381
58358956,174762
58443636,524288
58539996,74898
58607156,174762
58709356,262144
58785276,131072
58897696,262144
58969236,131072
59077276,262144
59108100,81760
59199916,262144
59269996,262144
59337156,87381
59445196,262144
59521116,74898
59629156,262144
59696316,131072
59750500,58400
59851076,52428
59918236,262144
59985396,174762
60090516,174762
60172276,174762
60280316,262144
60356236,174762
60464276,524288
60534356,74898
60601516,174762
60709556,58254
60782556,174762
60905196,174762
60994256,131072
61035300,128480
61099540,268640
61192816,262144
61268736,174762
61376776,262144
61452696,131072
61560736,524288
61636656,174762
61741940,125560
61808936,262144
61876096,174762
61984136,262144
62060056,174762
62182696,87381
62252776,174762
62328696,524288
62384340,362080
62451336,262144
62525796,174762
62592956,262144
62686396,262144
62753556,131072
62829476,58254
62937516,262144
63013436,174762
63121476,262144
63197396,87381
63290836,524288
63363836,524288
63439756,87381
63533196,262144
63620796,174762
63743436,174762
63863156,131072
63971196,174762
64047116,131072
64152236,524288
64228156,74898
64311540,327040
64412116,174762
64520156,131072
64596076,131072
64673456,104857
64781496,262144
64857416,174762
64942096,524288
65023856,262144
65082420,77088
65161096,174762
65269136,104857
65345056,174762
65453096,262144
65529016,174762
65637056,262144
65712976,87381
65821016,262144
65896936,131072
66004976,524288
66080896,174762
66188936,174762
66264856,174762
66367220,478880
66434216,174762
66518896,262144
66615256,524288
66691176,174762
66799216,524288
66872216,174762
66945380,315360
67018216,524288
67108736,74898
67184656,131072
67278096,262144
67351096,131072
67459136,174762
67570096,524288
67654776,131072
67762816,262144
67835816,131072
67943856,26214
68019776,174762
68127816,262144
68203736,174762
68310316,524288
